,FTSEMIB payout,HSCEI payout,NDX payout,Triggered,Above Strike Lvl
50,14280.172485506122,6669.425364479508,5325.076679808406,0,0
51,11557.373609467468,5397.766782998104,4309.744910299454,0,0
52,10538.625010359869,4921.969466557261,3929.8535320124306,0,0
53,12141.691597262416,5670.667212784694,4527.637102677212,0,0
54,8850.812499804895,4133.691903397125,3300.4682042814525,0,0
55,19398.142204708758,9059.726818788473,7233.567717108759,0,0
56,9760.944745721046,4558.760934748447,3639.8565417254713,0,0
57,8946.385142882595,4178.328241686436,3336.1072452942453,0,0
58,10253.416429225283,4788.765379063439,3823.4992449180336,0,0
59,8720.392749920285,4072.780539140682,3251.8346762619644,0,0
60,20024.074692838585,9352.0629244638,7466.977957710376,0,0
61,8805.375235925028,4112.470840379818,3283.5246474353035,0,0
62,21308.65471270088,9952.014400951131,7945.997879497694,0,0
63,9280.297175716501,4334.278835668945,3460.6230507549963,0,0
64,9295.449074554015,4341.355392939489,3466.2731942134424,0,0
65,17272.796847944584,8067.103498232036,6441.026379997392,0,0
66,17572.811817651298,8207.222775552838,6552.901969763563,0,0
67,7577.754801308226,3539.121822859427,2825.744956421823,0,0
68,12547.109111634945,5860.013794998931,4678.817304006168,0,0
69,36032.27454107937,16828.54783498413,13436.436084641271,0,0
70,9008.033109606557,4207.120366806401,3359.0957736395835,0,0
71,8998.382082084216,4202.612941716394,3355.4969052332267,0,0
72,15869.806345820743,7411.849477281956,5917.851186389949,0,0
73,12596.15033828504,5882.918056222478,4697.104778660181,0,0
74,11113.954118595437,5190.671721469392,4144.39377097591,0,0
75,10482.750423817497,4895.873746418464,3909.0178972823383,0,0
76,6822.051377846884,3186.1773758947556,2543.943130763921,0,0
77,21139.729904437554,9873.119597539986,7883.005814238177,0,0
78,8563.687135905391,3999.5925998543707,3193.3991488457004,0,0
79,11016.745977789691,5145.271538762792,4108.144852819103,0,0
80,14562.978161445779,6801.507196841485,5430.5349234950445,0,0
81,15702.132108194535,7333.5387415727755,5855.325458952538,0,0
82,9422.980360571415,4400.917726279122,3513.829613984038,0,0
83,8085.548351062698,3776.282206187355,3015.1011839253197,0,0
84,15852.393023586004,7403.716742673176,5911.357758089673,0,0
85,8953.802944447465,4181.792658797338,3338.8733436847674,0,0
86,34674.56837620072,16194.44345405018,12930.147421534051,0,0
87,3792.8540000715802,1771.4181462107463,1414.3553522339241,0,0
88,11726.59647531666,5476.800791508158,4372.848121240254,0,0
89,10358.924154422812,4838.041807572628,3862.8430783037466,0,0
90,10295.864897185402,4808.5905519865155,3839.3282796903695,0,0
91,8051.640105431277,3760.445666838217,3002.456798274631,0,0
92,10862.73610511717,5073.342621081658,4050.7145674173616,0,0
93,9084.997764003228,4243.06601233152,3387.795895204166,0,0
94,32739.08791537981,15290.49481540767,12208.406708905888,0,0
95,10162.893520217158,4746.487473385616,3789.743249867074,0,0
96,7437.674794981411,3473.6987232294505,2773.5091185315287,0,0
97,9953.09385193943,4648.502436405773,3711.5089482778476,0,0
98,6929.426048722009,3236.325744492127,2583.98314823987,0,0
99,8905.72761120066,4159.3395093492145,3320.9460507051895,0,0
100,9972.959399099906,4657.780460480468,3718.916811314743,0,0
101,17471.674779536515,8159.987636903379,6515.187965701179,0,0
102,8691.792504264531,4059.423053157902,3241.169643936001,0,0
